Device_ID,Client_ID,Office_ID,BSOD_count,Hard_reset_count,Boot_Speed,Logon_Duration,CPU_Usage,Memory_Usage,System_Free_Space
1800001, 1, 88, 0, 0, 9824, 8520, 0.005, 0, 180269625344
1400002,1,124,0,11,204075,34036,0.001,0,190256279552
1200003,1,172,1,21,51930,15774,0,0,198199214080
1200004,1,732,0,0,167701,3633,0,0,198328692736
1200005,1,172,0,1,235541,19340,0.009,0,177966186496
1400006,1,674,1,2,48905,10334,0.001,0,198341156864
1100007,1,341,0,21,67234,12269,0.003,0,203764547584
1600008,1,476,0,0,123772,13466,0.003,0,189887942656
1100009,1,31,0,0,154494,18222,0.001,0,189559447552
1100010,1,31,0,2,10019,11067,0.007,0,178784735232
1800011,1,628,0,0,17873,7930,0.001,0,390887444480
1600012,1,476,0,20,90990,7495,0.002,0,186388795392
1200013,1,172,0,19,41417,14886,0,0,189636554752
1800014,1,88,0,0,142585,16538,0.005,0,202852450304
1800015,1,628,0,2,135034,16899,0,0,213857660928
1400016,1,124,0,0,156875,19692,0.004,0,186349416448
1800017,1,628,0,0,127042,14885,0,0.028,184604278784
1400018,1,124,0,0,122565,22181,0.007,0,191844466688
1800019,1,628,0,0,5886,14930,0.001,0,421770563584
1400020,1,124,0,0,31285,18281,0.003,0.031,163164872704
1800021,1,628,0,0,22219,8061,0,0,192474918912
1800022,1,628,0,0,38839,19673,0.001,0,211219656704
1200023,1,172,0,2,9337,15177,0.003,0,201638785024
1700024,1,27,0,0,10233,18394,0.002,0.008,156103217152
1100025,1,31,0,0,9899,11004,0,0,200836530176
1100026,1,31,0,0,185122,13275,0.004,0,196701941760
1600027,1,476,0,1,11582,16018,0,0,407419031552
1200028,1,172,0,2,12060,9172,0.114,0.114,137058332672
1600029,1,476,0,0,10698,6730,0,0,404628324352
1600030,1,476,0,14,12257,9014,0,0,387706273792
1600031,1,476,0,1,116285,8243,0.002,0,405492920320
1000032,1,640,0,0,89827,7147,0.197,0.016,355930009600
1200033,1,172,0,0,51640,20931,0.004,0,377216737280
1700034,1,27,0,0,13721,11865,0,0,0
1100035,1,341,0,0,37452,34506,0,0,176904617984
1600036,1,476,0,0,229874,15319,0.001,0,189930295296
1200037,1,172,0,9,200992,18952,0.008,0.205,112747339776
1000038,1,640,1,20,17340,7795,0,0,167049297920
1600039,1,476,0,0,20074,10672,0,0,394619015168
